region,postcode,place,county,Gravemaskin - belter,Lastebiler,Hjullastere,Traktorer,Maskinhengere,Gravemaskin - hjul,Minimaskiner < 5tonn,Dumpere,Borevogner,Knuseverk,Trekkvogner,Kompressorer,Containerbiler,Bulldosere,Veghøvler,Andre,Maskiner Totalt,Registrering år,Næring,Antall ansatte,Omsetning EUR,Name
Region Sørvest,4343,Orre,Rogaland,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,"=""20.02.1995",Riving av bygninger og andre konstruksjoner (43110),2,,Company 569
Seksjon Ressurs og miljø,3941,Porsgrunn,Telemark,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,4,,,,,Company 570
Region Sørvest,4387,Bjerkreim,Rogaland,4,4,0,3,0,1,0,0,0,0,0,0,0,0,0,4,16,,,,,Company 571
Region Midt,7994,Leka,Nord-Trøndelag,3,6,2,1,3,1,1,0,1,0,2,2,0,0,0,3,25,"=""20.11.2002",Grunnarbeid (43120),11,1023736,Company 572
Region Sørøst,3174,Revetal,Vestfold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,5,"=""30.05.2012",Grunnarbeid (43120),4,282378,Company 573
Region Vest,5620,Tørvikbygd,Hordaland,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,5,9,,,,,Company 574
Region Sørøst,3550,Gol,Buskerud,12,8,3,2,3,4,2,3,2,1,0,0,0,0,0,2,42,"=""25.02.2012",Grunnarbeid (43120),40,11518047,Company 575
Region Sørøst,3054,Krokstadelva,Buskerud,6,3,2,0,1,1,0,2,0,0,0,0,0,0,0,2,17,"=""19.02.1995",Grunnarbeid (43120),9,1647055,Company 576
Region Sørøst,3256,Larvik,Vestfold,7,4,1,0,0,0,4,0,0,0,1,6,0,0,0,3,26,"=""15.01.1996",Grunnarbeid (43120),22,18583814,Company 577
Region Sørøst,3070,Sande i Vestfold,Vestfold,0,1,0,5,1,0,0,0,0,0,0,0,1,0,0,8,16,"=""08.02.2001",Tjenester tilknyttet planteproduksjon (01610),4,1863031,Company 578
Region Øst,2822,Bybrua,Oppland,7,7,3,4,0,1,0,2,0,1,0,0,6,1,0,0,32,"=""21.12.1995",Grunnarbeid (43120),29,4550131,Company 579
Region Nord,9408,Harstad,Troms,7,3,5,2,0,2,2,1,1,1,0,0,0,0,0,6,30,"=""25.05.2000",Grunnarbeid (43120),33,5118487,Company 580
Region Øst,0278,Oslo,Oslo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"=""16.07.2011",Bygging av bruer og tunneler (42130),19,4404935,Company 581
Region Øst,1634,Gamle Fredrikstad,Østfold,12,5,2,2,2,1,3,1,0,2,0,0,1,0,1,0,32,,,,,Company 582
Region Midt,7130,Brekstad,Sør-Trøndelag,5,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,12,,,,,Company 583
Region Sørøst,3721,Skien,Telemark,2,0,2,0,0,0,1,2,1,2,0,0,0,0,0,0,10,"=""06.08.2003",Bryting av stein til bygge- og anleggsvirksomhet (08111),7,1179244,Company 584
Region Sørøst,3931,Porsgrunn,Telemark,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,"=""17.07.1995",Grunnarbeid (43120),7,171763,Company 585
